,Date,Open,High,Low,Close,Adj Close,Volume,daily_return,Vader_Text_polarity,polarity_score_change,pos_count,neg_count,neu_count,tweet_count
734,2018-02-28,,,,,,,,3.3992,3.7533000000000003,6.0,1.0,4.0,11.0
735,2018-03-01,,,,,,,,6.0662,2.6670000000000003,11.0,0.0,1.0,12.0
736,2018-03-02,,,,,,,,3.5839,-2.4823000000000004,7.0,0.0,5.0,12.0
737,2018-03-03,,,,,,,,14.928299999999997,11.344399999999997,30.0,3.0,7.0,40.0
738,2018-03-04,,,,,,,,5.9779,-8.950399999999997,12.0,1.0,7.0,20.0
739,2018-03-05,,,,,,,,7.7106,1.7327000000000004,17.0,2.0,20.0,39.0
740,2018-03-06,,,,,,,,2.7946999999999997,-4.915900000000001,8.0,2.0,7.0,17.0
741,2018-03-07,,,,,,,,3.8832,1.0885000000000002,9.0,3.0,3.0,15.0
742,2018-03-08,,,,,,,,3.2454,-0.6377999999999999,8.0,1.0,6.0,15.0
743,2018-03-09,,,,,,,,2.6371999999999995,-0.6082000000000005,9.0,2.0,5.0,16.0
744,2018-03-10,,,,,,,,1.6248,-1.0123999999999995,5.0,2.0,9.0,16.0
745,2018-03-11,,,,,,,,4.2569,2.6321,9.0,3.0,3.0,15.0
746,2018-03-12,,,,,,,,2.6298,-1.6271,6.0,3.0,7.0,16.0
747,2018-03-13,,,,,,,,1.3924999999999998,-1.2373,4.0,3.0,3.0,10.0
748,2018-03-14,,,,,,,,2.8203,1.4278000000000002,8.0,2.0,4.0,14.0
749,2018-03-15,,,,,,,,1.1123000000000003,-1.7079999999999997,4.0,2.0,6.0,12.0
750,2018-03-16,,,,,,,,1.0093,-0.1030000000000002,4.0,2.0,3.0,9.0
751,2018-03-17,,,,,,,,1.9674999999999994,0.9581999999999993,7.0,3.0,11.0,21.0
752,2018-03-18,,,,,,,,3.172,1.2045000000000008,6.0,0.0,2.0,8.0
753,2018-03-19,,,,,,,,7.561400000000001,4.3894,19.0,3.0,9.0,31.0
754,2018-03-20,,,,,,,,2.2535,-5.307900000000001,5.0,1.0,10.0,16.0
755,2018-03-21,,,,,,,,1.1885,-1.065,5.0,3.0,5.0,13.0
756,2018-03-22,,,,,,,,0.37720000000000004,-0.8112999999999999,4.0,2.0,6.0,12.0
757,2018-03-23,,,,,,,,2.6691000000000003,2.2919,5.0,2.0,6.0,13.0
758,2018-03-24,,,,,,,,3.9663,1.2971999999999997,7.0,0.0,5.0,12.0
759,2018-03-25,,,,,,,,4.1147,0.1484000000000001,8.0,4.0,8.0,20.0
760,2018-03-26,,,,,,,,0.34,-3.7747,2.0,1.0,12.0,15.0
761,2018-03-27,,,,,,,,6.744400000000001,6.404400000000001,10.0,1.0,8.0,19.0
