UserScreenName,UserName,Timestamp,Text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Pearl Freier,@PearlF,2020-01-13T16:21:57.000Z,"Arie Belldegrun's insights on China: his bio says he's Vice Chair of Board of Dir at FosunKite, joint venture betw Fosun Pharma & Kite 4 development of cell therapy in China. He's in China few times/ yr. He said he's been watching Chinese FDA (CFDA) catch up w/the science #JPM20",,1,,3,[],https://twitter.com/PearlF/status/1216757284744957953
gpc,@gpcprao,2020-01-16T02:48:00.000Z,"@fosunpharma
 GaneshKumar kanapala is an employee of Gland Pharma Ltd Duvvada Visakhapatnam and he is a secretary of a Residential Welfare Assn. He has cut off the water supply and electricity and the members which include women and children have no water for 5 days.Please rectify",,,,,[],https://twitter.com/gpcprao/status/1217639609196146688
dough,@semodough,2020-02-06T18:17:51.000Z,"回复 
@DewDiligenceDEW what’s next.  EX-USA partner ??",,1,1,2,[],https://twitter.com/semodough/status/1225483760789000193
Roy Friedman,@DewDiligence,2020-02-06T18:21:44.000Z,Maybe. Note that $RVNC already has a partner (Fosun Pharma) for Greater China.,,,1,3,[],https://twitter.com/DewDiligence/status/1225484739345354752
Fosun,@Fosun_Intl,2020-02-07T23:58:11.000Z,"Fosun Pharma launched a speedy reagent test kits for novel coronavirus patients without fever or other symptoms. #CoronavirusOutbreak #coronaviruschinaHere Comes a Speedy Reagent Test Kits for Novel Coronavirus Patients Without Fever or Other Symptoms
I’m glad that I can finally share a piece of good news: the R&D of nucleic acid reagent test kits for novel coronavirus (2019-nCoV) led by Fosun Pharma in diagnosis has been successfully completed....
linkedin.com",,,5,19,['https://pbs.twimg.com/card_img/1357394981527433216/6VxZudml?format=jpg&name=small'],https://twitter.com/Fosun_Intl/status/1225931797227196416
Fosun,@Fosun_Intl,2020-02-08T01:45:45.000Z,"Fosun Pharma's testing kit for the deadly coronavirus is fast enough to allow one well-equipped hospital to process more than 1,000 samples a day, compared with the current 200Fosun Pharma Jumps for Second Day After Unveiling Virus Test Kit
Shanghai Fosun Pharmaceutical (Group) Co. said it has developed a testing kit for the deadly coronavirus, helping its shares to their biggest two-day gain in more than five months.
bloomberg.com",,,8,19,['https://pbs.twimg.com/card_img/1358282742899699713/dyBf_DqL?format=jpg&name=small'],https://twitter.com/Fosun_Intl/status/1225958864622739456
Fosun,@Fosun_Intl,2020-02-13T21:24:44.000Z,"Fosun Pharma's subsidiary Breas donates 140 medical non-invasive ventilators worth a total of RMB 15 Million to 14 hospitals in Hubei province. Hospitals are experiencing supplies shortage, including ventilator equipment that treats severely ill patients. https://fosunpharma.com/en/news/news-details-3794.html…",,,5,13,['https://pbs.twimg.com/media/EQr444cVUAA0WeK?format=jpg&name=small'],https://twitter.com/Fosun_Intl/status/1228067506599821312
Fosun,@Fosun_Intl,2020-02-14T23:27:17.000Z,"Congrats! Fosun Pharma has sought approval from Beijing for coronavirus test kits. Still awaiting emergency approval from the State Drug Administration. #FosunFamilyFosun unit seeks Beijing’s approval for coronavirus test kits
Shanghai Fosun Pharmaceutical, a Hong Kong and Shanghai-listed mainland Chinese health care group, said it has applied for emergency approval from Beijing for a newly developed test kit that can be...
scmp.com",,,,10,['https://pbs.twimg.com/card_img/1358084263523078144/y6xAGcYX?format=jpg&name=small'],https://twitter.com/Fosun_Intl/status/1228460736055144448
Aegis Bridge,@AegisBridge,2020-02-14T11:31:43.000Z,"Remsedivir.

Alles gut. Alles in chinesischer Hand sowieso.
""Fosun Pharma ist der Agent von Redecive in China. WuXi PharmaTech ist der eigentliche Controller von Fosun Pharma. WuXi Pharmas Chef ist Jiang Zhicheng! 
Verstehst du jetzt""",,,1,,[],https://twitter.com/AegisBridge/status/1228280658503643142
MMCAP Infuse,@MMCAPInfuse,2020-02-18T18:11:26.000Z,Thank you to Fosun Pharma USA for registering to exhibit with us at our 2020 Vendor Trade Show. https://fosunpharmausa.com,,,,,[],https://twitter.com/MMCAPInfuse/status/1229830800134332416
